"X","p_vec","gamma_vec","beta_vec","Lik_vec","job_vec"
22,0.261,0.0513785097556225,0.001912,-180.805407000748,10
23,0.261,0.0513785097556225,0.001914,-180.727283849169,10
24,0.261,0.0513785097556225,0.001916,-180.655852685365,10
25,0.261,0.0513785097556225,0.001918,-180.591056172476,10
1,0.272,0.051792395467386,0.00197,-181.576116067137,100
2,0.272,0.051792395467386,0.001972,-181.703736667562,100
3,0.272,0.051792395467386,0.001974,-181.836793566272,100
4,0.272,0.051792395467386,0.001976,-181.975241308928,100
5,0.272,0.051792395467386,0.001978,-182.119034890335,100
6,0.272,0.051792395467386,0.00198,-182.268129662844,100
7,0.272,0.051792395467386,0.001982,-182.422842434594,100
8,0.272,0.051792395467386,0.001984,-182.582419372349,100
9,0.272,0.051792395467386,0.001986,-182.747165871631,100
10,0.272,0.051792395467386,0.001988,-182.917038828257,100
11,0.272,0.051792395467386,0.00199,-183.09199548311,100
12,0.272,0.051792395467386,0.001992,-183.271993517539,100
13,0.272,0.051792395467386,0.001994,-183.456990925395,100
14,0.272,0.051792395467386,0.001996,-183.646945990205,100
15,0.272,0.051792395467386,0.001998,-183.841817495282,100
16,0.272,0.051792395467386,0.002,-184.041564499459,100
17,0.272,0.051792395467386,0.002002,-184.246146325094,100
18,0.272,0.051792395467386,0.002004,-184.455522796947,100
19,0.272,0.051792395467386,0.002006,-184.669653995574,100
20,0.272,0.051792395467386,0.002008,-184.888500280302,100
21,0.272,0.051792395467386,0.00201,-185.112022420327,100
22,0.272,0.051792395467386,0.002012,-185.34018148171,100
23,0.272,0.051792395467386,0.002014,-185.572938856344,100
24,0.272,0.051792395467386,0.002016,-185.8102562194,100
25,0.272,0.051792395467386,0.002018,-186.052095650727,100
1,0.2725,0.0518113316981854,0.00182,-191.661671169914,101
2,0.2725,0.0518113316981854,0.001822,-191.203379412464,101
3,0.2725,0.0518113316981854,0.001824,-190.756222393599,101
4,0.2725,0.0518113316981854,0.001826,-190.3200550974,101
5,0.2725,0.0518113316981854,0.001828,-189.894737316811,101
6,0.2725,0.0518113316981854,0.00183,-189.480133294204,101
7,0.2725,0.0518113316981854,0.001832,-189.076111419869,101
8,0.2725,0.0518113316981854,0.001834,-188.682543970265,101
9,0.2725,0.0518113316981854,0.001836,-188.299306841977,101
10,0.2725,0.0518113316981854,0.001838,-187.926279330319,101
11,0.2725,0.0518113316981854,0.00184,-187.563343929322,101
12,0.2725,0.0518113316981854,0.001842,-187.210386136811,101
13,0.2725,0.0518113316981854,0.001844,-186.867294290167,101
14,0.2725,0.0518113316981854,0.001846,-186.533959407307,101
15,0.2725,0.0518113316981854,0.001848,-186.210275041618,101
16,0.2725,0.0518113316981854,0.00185,-185.896137154006,101
